actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,-0.0027310510631650686
-0.0718885213136673,-0.007054971065372229
-0.07375572621822357,-0.012252777814865112
-0.07562292367219925,-0.018000658601522446
-0.08231135457754135,-0.025077247992157936
-0.08627808094024658,-0.03275193274021149
-0.0882614403963089,-0.040454842150211334
-0.09123647958040237,-0.04864446818828583
-0.09520316869020462,-0.05771651491522789
-0.09851530194282532,-0.06729518622159958
-0.10249559581279755,-0.07773881405591965
-0.10747094452381134,-0.08952293545007706
-0.11344131827354431,-0.10148212313652039
-0.11841660737991333,-0.10994936525821686
-0.12584461271762848,-0.11789698898792267
-0.13289155066013336,-0.12539426982402802
-0.13993841409683228,-0.13266633450984955
-0.14597854018211365,-0.1393224447965622
-0.15403196215629578,-0.14667721092700958
-0.16309194266796112,-0.15488457679748535
-0.15489612519741058,-0.15489034354686737
-0.16214215755462646,-0.15851625800132751
-0.16938813030719757,-0.16395218670368195
-0.17663399875164032,-0.17029309272766113
-0.1838797926902771,-0.17708644270896912
-0.19743956625461578,-0.18726299703121185
-0.20496012270450592,-0.1961115598678589
-0.2124805897474289,-0.2042960822582245
-0.21812087297439575,-0.21120847761631012
-0.22470109164714813,-0.21795478463172913
-0.22390331327915192,-0.22092904150485992
-0.22936350107192993,-0.22514627873897552
-0.23573365807533264,-0.2304399609565735
-0.24119369685649872,-0.2358168363571167
-0.24574369192123413,-0.24078026413917542
-0.26237788796424866,-0.25157907605171204
-0.2671300768852234,-0.2593545913696289
-0.27093181014060974,-0.2651432156562805
-0.2756839096546173,-0.2704135775566101
-0.2794855535030365,-0.2749495506286621
-0.2832871675491333,-0.2791183590888977
-0.311274915933609,-0.29519662261009216
-0.3153965175151825,-0.30529657006263733
-0.3184877038002014,-0.31189215183258057
-0.3195180892944336,-0.3157051205635071
-0.3195180892944336,-0.31761160492897034
-0.26082804799079895,-0.28921982645988464
-0.26082804799079895,-0.2750239372253418
-0.26082804799079895,-0.26792600750923157
-0.26082804799079895,-0.26437702775001526
-0.26082804799079895,-0.2626025378704071
-0.24041633307933807,-0.251509428024292
-0.24041633307933807,-0.24596288800239563
-0.2396358996629715,-0.24279938638210297
-0.23807501792907715,-0.24043720960617065
-0.23729458451271057,-0.2388658970594406
-0.30644071102142334,-0.2726533114910126
-0.3033873438835144,-0.2880203127861023
